,AI Usage Boundaries,Ethical & Legal Considerations,Human vs AI Roles,Oversight & Accountability,Data Governance,Risk Management,Transparency & Explainability,Training & Awareness,Enforcement,Other Considerations
US Air Force,,,,,,,,,,✔
America’s AI Action Plan (White House),,,,,,,,,,✔
Arizona Department of Administration,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
CIPFA,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Cisco (Supplier AI Policy),✔,✔,,✔,✔,✔,,,✔,✔
Chatham Kent,,,,,,,,,,✔
EU European Patent Office,,,,,,,,,,✔
Firstsource Solutions,,,,,,,,,,✔
HCA Healthcare,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
ITS America,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Lenovo,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
NARPM,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Nasdaq,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
O’Melveny & Myers LLP,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
Republic of Rwanda (Ministry of ICT),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
SourceCode,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
State of Iowa,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
State of Nevada,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
United Nations (Model Policy Framework),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
eBay Inc.,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
National Institute of Standards in Technology (NIST),,,,,,,,,,
EU AI Act,,,,,,,,,,
OECD,,,,,,,,,,
